# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
3.653999999999999773e+02 6.299000000000000394e-16
3.783000000000000114e+02 6.131000000000000426e-16
3.916999999999999886e+02 5.967000000000000127e-16
4.055000000000000000e+02 5.804000000000000240e-16
4.198999999999999773e+02 5.645000000000000023e-16
4.346999999999999886e+02 5.487000000000000216e-16
4.501000000000000227e+02 5.331999999999999670e-16
4.660000000000000000e+02 5.178999999999999945e-16
4.823999999999999773e+02 5.029000000000000465e-16
4.995000000000000000e+02 4.880999999999999835e-16
5.171000000000000227e+02 4.736000000000000437e-16
5.353999999999999773e+02 4.594000000000000299e-16
5.542999999999999545e+02 4.455000000000000407e-16
5.737999999999999545e+02 4.318999999999999775e-16
5.941000000000000227e+02 4.185999999999999882e-16
6.151000000000000227e+02 4.054999999999999824e-16
6.367999999999999545e+02 3.927000000000000012e-16
6.592999999999999545e+02 3.801999999999999953e-16
6.826000000000000227e+02 3.679000000000000222e-16
7.067000000000000455e+02 3.560000000000000162e-16
7.317000000000000455e+02 3.442999999999999937e-16
7.575000000000000000e+02 3.329999999999999876e-16
7.842999999999999545e+02 3.219000000000000143e-16
8.120000000000000000e+02 3.110000000000000246e-16
8.407000000000000455e+02 3.005000000000000019e-16
8.703999999999999773e+02 2.902000000000000120e-16
9.011000000000000227e+02 2.801999999999999974e-16
9.328999999999999773e+02 2.704000000000000156e-16
9.658999999999999773e+02 2.609000000000000092e-16
1.000000000000000000e+03 2.515999999999999863e-16
-----------------------


C8 N2 Excitation 1.47 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 2.875000000000000111e-27
1.868000000000000105e+00 4.651000000000000348e-27
1.933999999999999941e+00 7.413000000000000478e-27
2.001999999999999780e+00 1.165000000000000002e-26
2.072999999999999954e+00 1.803999999999999886e-26
2.145999999999999908e+00 2.755000000000000235e-26
2.221999999999999975e+00 4.151000000000000186e-26
2.299999999999999822e+00 6.171999999999999514e-26
2.382000000000000117e+00 9.061000000000000059e-26
2.466000000000000192e+00 1.313999999999999953e-25
2.552999999999999936e+00 1.883999999999999946e-25
2.642999999999999794e+00 2.671999999999999781e-25
2.736000000000000210e+00 3.752999999999999935e-25
2.833000000000000185e+00 5.226999999999999894e-25
2.932999999999999829e+00 7.230999999999999730e-25
3.036999999999999922e+00 9.959000000000000271e-25
3.144000000000000128e+00 1.368999999999999981e-24
3.254999999999999893e+00 1.884999999999999989e-24
3.370000000000000107e+00 2.609999999999999957e-24
3.488999999999999879e+00 3.649000000000000138e-24
3.612000000000000099e+00 5.169000000000000242e-24
3.740000000000000213e+00 7.446000000000000591e-24
3.871999999999999886e+00 1.091999999999999994e-23
4.009000000000000341e+00 1.632000000000000081e-23
4.150000000000000355e+00 2.477999999999999963e-23
4.296999999999999709e+00 3.810999999999999752e-23
4.448999999999999844e+00 5.916000000000000147e-23
4.605999999999999872e+00 9.226999999999999993e-23
4.769000000000000128e+00 1.440999999999999983e-22
4.937000000000000277e+00 2.245000000000000087e-22
5.110999999999999766e+00 3.480999999999999790e-22
5.291999999999999815e+00 5.426000000000000168e-22
5.479000000000000092e+00 8.290999999999999998e-22
5.671999999999999709e+00 1.255000000000000060e-21
5.873000000000000220e+00 1.881000000000000183e-21
6.080000000000000071e+00 2.790999999999999849e-21
6.294999999999999929e+00 4.099999999999999941e-21
6.517000000000000348e+00 5.961999999999999673e-21
6.748000000000000220e+00 8.582999999999999295e-21
6.985999999999999766e+00 1.223000000000000066e-20
7.232999999999999652e+00 1.726999999999999915e-20
7.488000000000000433e+00 2.412999999999999999e-20
7.753000000000000114e+00 3.341000000000000052e-20
8.025999999999999801e+00 4.584000000000000029e-20
8.310000000000000497e+00 6.233000000000000124e-20
8.602999999999999758e+00 8.401000000000000114e-20
8.907000000000000028e+00 1.122999999999999966e-19
9.221999999999999531e+00 1.489000000000000079e-19
9.548000000000000043e+00 1.962999999999999926e-19
9.884999999999999787e+00 2.560999999999999796e-19
1.023000000000000043e+01 3.317999999999999890e-19
1.059999999999999964e+01 4.267000000000000098e-19
1.097000000000000064e+01 5.448999999999999856e-19
1.135999999999999943e+01 6.913000000000000309e-19
1.175999999999999979e+01 8.714000000000000394e-19
1.216999999999999993e+01 1.093999999999999918e-18
1.259999999999999964e+01 1.360999999999999922e-18
1.305000000000000071e+01 1.687999999999999993e-18
1.350999999999999979e+01 2.080999999999999943e-18
1.399000000000000021e+01 2.551000000000000139e-18
1.448000000000000043e+01 3.103999999999999815e-18
1.499000000000000021e+01 3.767000000000000062e-18
1.551999999999999957e+01 4.538000000000000043e-18
1.607000000000000028e+01 5.442000000000000009e-18
1.664000000000000057e+01 6.497000000000000173e-18
1.723000000000000043e+01 7.721000000000000747e-18
1.782999999999999829e+01 9.135999999999999766e-18
1.846000000000000085e+01 1.077000000000000047e-17
1.912000000000000099e+01 1.264000000000000053e-17
1.978999999999999915e+01 1.478999999999999911e-17
2.048999999999999844e+01 1.721999999999999928e-17
2.121000000000000085e+01 1.998999999999999917e-17
2.196000000000000085e+01 2.311000000000000106e-17
2.273999999999999844e+01 2.663000000000000082e-17
2.353999999999999915e+01 3.059000000000000132e-17
2.437000000000000099e+01 3.508000000000000131e-17
2.523999999999999844e+01 4.003000000000000039e-17
2.612999999999999901e+01 4.552999999999999732e-17
2.705000000000000071e+01 5.163000000000000030e-17
2.801000000000000156e+01 5.837999999999999905e-17
2.898999999999999844e+01 6.583000000000000177e-17
3.001999999999999957e+01 7.401000000000000601e-17
3.107999999999999829e+01 8.299000000000000599e-17
3.217999999999999972e+01 9.276000000000000254e-17
3.331000000000000227e+01 1.035000000000000055e-16
3.449000000000000199e+01 1.151000000000000115e-16
3.571000000000000085e+01 1.277000000000000092e-16
3.696999999999999886e+01 1.412999999999999985e-16
3.827000000000000313e+01 1.559999999999999958e-16
3.963000000000000256e+01 1.718000000000000010e-16
4.103000000000000114e+01 1.885000000000000062e-16
4.247999999999999687e+01 2.065000000000000028e-16
4.397999999999999687e+01 2.256999999999999993e-16
4.553000000000000114e+01 2.460999999999999955e-16
4.714000000000000057e+01 2.676999999999999915e-16
4.879999999999999716e+01 2.903000000000000037e-16
5.053000000000000114e+01 3.141000000000000158e-16
5.231000000000000227e+01 3.388999999999999947e-16
5.415999999999999659e+01 3.646999999999999900e-16
5.607000000000000028e+01 3.914000000000000097e-16
5.804999999999999716e+01 4.186999999999999800e-16
6.010000000000000142e+01 4.467999999999999830e-16
6.222999999999999687e+01 4.752999999999999530e-16
6.442000000000000171e+01 5.040000000000000052e-16
6.670000000000000284e+01 5.331000000000000245e-16
6.906000000000000227e+01 5.619000000000000192e-16
7.148999999999999488e+01 5.903999999999999892e-16
7.401999999999999602e+01 6.183000000000000087e-16
7.662999999999999545e+01 6.455000000000000366e-16
7.934000000000000341e+01 6.717999999999999906e-16
8.214000000000000057e+01 6.961999999999999532e-16
8.504000000000000625e+01 7.197999999999999817e-16
8.804999999999999716e+01 7.420000000000000269e-16
9.115999999999999659e+01 7.624999999999999656e-16
9.437999999999999545e+01 7.811999999999999539e-16
9.770999999999999375e+01 7.979000000000000083e-16
1.012000000000000028e+02 8.126999999999999727e-16
1.047000000000000028e+02 8.253000000000000197e-16
1.084000000000000057e+02 8.361000000000000177e-16
1.122999999999999972e+02 8.448000000000000407e-16
1.162000000000000028e+02 8.515999999999999737e-16
1.202999999999999972e+02 8.565000000000000139e-16
1.245999999999999943e+02 8.594999999999999640e-16
1.290000000000000000e+02 8.606999999999999638e-16
1.335000000000000000e+02 8.604999999999999803e-16
1.383000000000000114e+02 8.585000000000000464e-16
1.430999999999999943e+02 8.549999999999999895e-16
1.481999999999999886e+02 8.501000000000000480e-16
1.534000000000000057e+02 8.441000000000000491e-16
1.589000000000000057e+02 8.368999999999999518e-16
1.645000000000000000e+02 8.282999999999999698e-16
1.703000000000000114e+02 8.191999999999999797e-16
1.763000000000000114e+02 8.092999999999999569e-16
1.825000000000000000e+02 7.987000000000000410e-16
1.890000000000000000e+02 7.874000000000000349e-16
1.955999999999999943e+02 7.756000000000000207e-16
2.025999999999999943e+02 7.627999999999999902e-16
2.096999999999999886e+02 7.501000000000000007e-16
2.170999999999999943e+02 7.370999999999999867e-16
2.248000000000000114e+02 7.237000000000000056e-16
2.326999999999999886e+02 7.101000000000000410e-16
2.409000000000000057e+02 6.964000000000000353e-16
2.495000000000000000e+02 6.827999999999999721e-16
2.583000000000000114e+02 6.686999999999999994e-16
2.673999999999999773e+02 6.546000000000000266e-16
2.768000000000000114e+02 6.404000000000000128e-16
2.866000000000000227e+02 6.263000000000000401e-16
2.966999999999999886e+02 6.119999999999999852e-16
3.071999999999999886e+02 5.979000000000000125e-16
3.181000000000000227e+02 5.838000000000000398e-16
3.293000000000000114e+02 5.698000000000000095e-16
3.408999999999999773e+02 5.559000000000000203e-16
3.530000000000000000e+02 5.420000000000000311e-16
3.653999999999999773e+02 5.283000000000000254e-16
3.783000000000000114e+02 5.146999999999999622e-16
3.916999999999999886e+02 5.012999999999999811e-16
4.055000000000000000e+02 4.880000000000000411e-16
4.198999999999999773e+02 4.748999999999999860e-16
4.346999999999999886e+02 4.620000000000000130e-16
4.501000000000000227e+02 4.491999999999999825e-16
4.660000000000000000e+02 4.366999999999999766e-16
4.823999999999999773e+02 4.243000000000000118e-16
4.995000000000000000e+02 4.119999999999999894e-16
5.171000000000000227e+02 3.999999999999999916e-16
5.353999999999999773e+02 3.883000000000000185e-16
5.542999999999999545e+02 3.766999999999999877e-16
5.737999999999999545e+02 3.653999999999999816e-16
5.941000000000000227e+02 3.543000000000000083e-16
6.151000000000000227e+02 3.434000000000000186e-16
6.367999999999999545e+02 3.327000000000000123e-16
6.592999999999999545e+02 3.221999999999999896e-16
6.826000000000000227e+02 3.119999999999999915e-16
7.067000000000000455e+02 3.019999999999999769e-16
7.317000000000000455e+02 2.921999999999999952e-16
7.575000000000000000e+02 2.826999999999999887e-16
7.842999999999999545e+02 2.733000000000000233e-16
8.120000000000000000e+02 2.641999999999999839e-16
8.407000000000000455e+02 2.552999999999999774e-16
8.703999999999999773e+02 2.466999999999999954e-16
9.011000000000000227e+02 2.382000000000000052e-16
9.328999999999999773e+02 2.299999999999999903e-16
9.658999999999999773e+02 2.220000000000000082e-16
1.000000000000000000e+03 2.140999999999999932e-16
-----------------------


C9 N2 Excitation 1.76 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 1.255999999999999923e-30
1.868000000000000105e+00 1.925000000000000160e-30
1.933999999999999941e+00 2.929000000000000006e-30
2.001999999999999780e+00 4.426999999999999724e-30
2.072999999999999954e+00 6.658999999999999406e-30
2.145999999999999908e+00 9.985000000000000412e-30
2.221999999999999975e+00 1.494999999999999984e-29
2.299999999999999822e+00 2.238000000000000130e-29
2.382000000000000117e+00 3.356000000000000168e-29
2.466000000000000192e+00 5.046000000000000028e-29
2.552999999999999936e+00 7.612999999999999597e-29
2.642999999999999794e+00 1.153000000000000068e-28
2.736000000000000210e+00 1.752999999999999894e-28
2.833000000000000185e+00 2.674000000000000167e-28
2.932999999999999829e+00 4.089999999999999612e-28
3.036999999999999922e+00 6.261999999999999905e-28
3.144000000000000128e+00 9.589000000000000659e-28
3.254999999999999893e+00 1.465999999999999932e-27
3.370000000000000107e+00 2.236999999999999822e-27
3.488999999999999879e+00 3.402000000000000183e-27
3.612000000000000099e+00 5.149999999999999768e-27
3.740000000000000213e+00 7.761999999999999604e-27
3.871999999999999886e+00 1.163999999999999976e-26
4.009000000000000341e+00 1.739999999999999952e-26
4.150000000000000355e+00 2.592999999999999776e-26
4.296999999999999709e+00 3.858000000000000212e-26
4.448999999999999844e+00 5.749000000000000482e-26
4.605999999999999872e+00 8.604000000000000435e-26
4.769000000000000128e+00 1.297999999999999998e-25
4.937000000000000277e+00 1.982999999999999896e-25
5.110999999999999766e+00 3.074000000000000021e-25
5.291999999999999815e+00 5.191999999999999993e-25
5.479000000000000092e+00 8.366000000000000190e-25
5.671999999999999709e+00 1.370999999999999975e-24
5.873000000000000220e+00 2.278999999999999976e-24
6.080000000000000071e+00 3.829000000000000363e-24
6.294999999999999929e+00 6.477999999999999658e-24
6.517000000000000348e+00 1.098999999999999937e-23
6.748000000000000220e+00 1.861000000000000057e-23
6.985999999999999766e+00 3.140000000000000073e-23
7.232999999999999652e+00 5.263999999999999789e-23
7.488000000000000433e+00 8.752000000000000493e-23
7.753000000000000114e+00 1.440999999999999983e-22
8.025999999999999801e+00 2.348000000000000023e-22
8.310000000000000497e+00 3.784000000000000159e-22
8.602999999999999758e+00 6.027999999999999713e-22
8.907000000000000028e+00 9.492000000000000778e-22
9.221999999999999531e+00 1.477000000000000004e-21
9.548000000000000043e+00 2.290000000000000114e-21
9.884999999999999787e+00 3.479999999999999821e-21
1.023000000000000043e+01 5.228999999999999925e-21
1.059999999999999964e+01 7.769000000000000439e-21
1.097000000000000064e+01 1.142000000000000055e-20
1.135999999999999943e+01 1.660000000000000038e-20
1.175999999999999979e+01 2.388999999999999985e-20
1.216999999999999993e+01 3.418999999999999873e-20
1.259999999999999964e+01 4.819999999999999919e-20
1.305000000000000071e+01 6.790999999999999629e-20
1.350999999999999979e+01 9.435999999999999566e-20
1.399000000000000021e+01 1.300000000000000064e-19
1.448000000000000043e+01 1.763000000000000027e-19
1.499000000000000021e+01 2.384000000000000180e-19
1.551999999999999957e+01 3.178000000000000057e-19
1.607000000000000028e+01 4.202999999999999899e-19
1.664000000000000057e+01 5.537999999999999922e-19
1.723000000000000043e+01 7.211999999999999642e-19
1.782999999999999829e+01 9.323999999999999459e-19
1.846000000000000085e+01 1.197000000000000063e-18
1.912000000000000099e+01 1.526000000000000007e-18
1.978999999999999915e+01 1.940000000000000077e-18
2.048999999999999844e+01 2.440999999999999954e-18
2.121000000000000085e+01 3.052000000000000015e-18
2.196000000000000085e+01 3.792000000000000314e-18
2.273999999999999844e+01 4.685000000000000108e-18
2.353999999999999915e+01 5.754999999999999807e-18
2.437000000000000099e+01 7.052000000000000686e-18
2.523999999999999844e+01 8.565000000000000262e-18
2.612999999999999901e+01 1.034999999999999962e-17
2.705000000000000071e+01 1.244000000000000006e-17
2.801000000000000156e+01 1.488000000000000094e-17
2.898999999999999844e+01 1.770999999999999898e-17
3.001999999999999957e+01 2.096999999999999858e-17
3.107999999999999829e+01 2.473000000000000014e-17
3.217999999999999972e+01 2.903999999999999955e-17
3.331000000000000227e+01 3.392999999999999741e-17
3.449000000000000199e+01 3.946999999999999721e-17
3.571000000000000085e+01 4.572000000000000016e-17
3.696999999999999886e+01 5.273000000000000215e-17
3.827000000000000313e+01 6.058000000000000275e-17
3.963000000000000256e+01 6.930999999999999866e-17
4.103000000000000114e+01 7.892999999999999524e-17
4.247999999999999687e+01 8.958000000000000559e-17
4.397999999999999687e+01 1.013000000000000018e-16
4.553000000000000114e+01 1.140999999999999953e-16
4.714000000000000057e+01 1.280000000000000092e-16
4.879999999999999716e+01 1.430000000000000064e-16
5.053000000000000114e+01 1.591000000000000116e-16
5.231000000000000227e+01 1.765000000000000084e-16
5.415999999999999659e+01 1.948999999999999968e-16
5.607000000000000028e+01 2.143999999999999932e-16
5.804999999999999716e+01 2.350000000000000222e-16
6.010000000000000142e+01 2.563999999999999854e-16
6.222999999999999687e+01 2.787000000000000223e-16
6.442000000000000171e+01 3.017999999999999934e-16
6.670000000000000284e+01 3.255000000000000137e-16
6.906000000000000227e+01 3.495000000000000092e-16
7.148999999999999488e+01 3.737999999999999801e-16
7.401999999999999602e+01 3.981999999999999920e-16
7.662999999999999545e+01 4.224000000000000204e-16
7.934000000000000341e+01 4.462999999999999748e-16
8.214000000000000057e+01 4.692000000000000117e-16
8.504000000000000625e+01 4.918999999999999664e-16
8.804999999999999716e+01 5.136000000000000035e-16
9.115999999999999659e+01 5.343999999999999667e-16
9.437999999999999545e+01 5.538999999999999878e-16
9.770999999999999375e+01 5.720000000000000255e-16
1.012000000000000028e+02 5.888000000000000224e-16
1.047000000000000028e+02 6.037999999999999703e-16
1.084000000000000057e+02 6.174000000000000335e-16
1.122999999999999972e+02 6.294000000000000313e-16
1.162000000000000028e+02 6.397999999999999637e-16
1.202999999999999972e+02 6.484999999999999867e-16
1.245999999999999943e+02 6.556000000000000429e-16
1.290000000000000000e+02 6.611999999999999761e-16
1.335000000000000000e+02 6.654000000000000246e-16
1.383000000000000114e+02 6.680000000000000077e-16
1.430999999999999943e+02 6.692000000000000075e-16
1.481999999999999886e+02 6.692000000000000075e-16
1.534000000000000057e+02 6.678999999999999667e-16
1.589000000000000057e+02 6.654999999999999671e-16
1.645000000000000000e+02 6.618000000000000253e-16
1.703000000000000114e+02 6.573999999999999933e-16
1.763000000000000114e+02 6.520999999999999860e-16
1.825000000000000000e+02 6.460999999999999871e-16
1.890000000000000000e+02 6.392999999999999555e-16
1.955999999999999943e+02 6.318999999999999733e-16
2.025999999999999943e+02 6.234999999999999749e-16
2.096999999999999886e+02 6.150000000000000340e-16
2.170999999999999943e+02 6.059999999999999863e-16
2.248000000000000114e+02 5.967000000000000127e-16
2.326999999999999886e+02 5.869999999999999734e-16
2.409000000000000057e+02 5.770000000000000082e-16
2.495000000000000000e+02 5.670000000000000429e-16
2.583000000000000114e+02 5.566000000000000119e-16
2.673999999999999773e+02 5.458999999999999564e-16
2.768000000000000114e+02 5.350999999999999584e-16
2.866000000000000227e+02 5.242000000000000179e-16
2.966999999999999886e+02 5.132000000000000364e-16
3.071999999999999886e+02 5.021999999999999563e-16
3.181000000000000227e+02 4.911000000000000323e-16
3.293000000000000114e+02 4.800000000000000097e-16
3.408999999999999773e+02 4.688999999999999871e-16
3.530000000000000000e+02 4.577000000000000220e-16
3.653999999999999773e+02 4.467000000000000405e-16
3.783000000000000114e+02 4.357000000000000097e-16
3.916999999999999886e+02 4.248000000000000199e-16
4.055000000000000000e+02 4.140000000000000219e-16
4.198999999999999773e+02 4.033000000000000157e-16
4.346999999999999886e+02 3.927000000000000012e-16
4.501000000000000227e+02 3.821999999999999785e-16
4.660000000000000000e+02 3.717999999999999969e-16
4.823999999999999773e+02 3.615000000000000070e-16
4.995000000000000000e+02 3.513000000000000089e-16
5.171000000000000227e+02 3.412999999999999943e-16
5.353999999999999773e+02 3.315000000000000125e-16
5.542999999999999545e+02 3.218000000000000226e-16
5.737999999999999545e+02 3.124000000000000079e-16
5.941000000000000227e+02 3.029999999999999932e-16
6.151000000000000227e+02 2.939000000000000031e-16
6.367999999999999545e+02 2.849000000000000047e-16
6.592999999999999545e+02 2.759999999999999982e-16
6.826000000000000227e+02 2.674000000000000162e-16
7.067000000000000455e+02 2.588999999999999767e-16
7.317000000000000455e+02 2.506000000000000193e-16
7.575000000000000000e+02 2.425999999999999879e-16
7.842999999999999545e+02 2.346000000000000058e-16
8.120000000000000000e+02 2.268999999999999991e-16
8.407000000000000455e+02 2.193000000000000087e-16
8.703999999999999773e+02 2.119999999999999936e-16
9.011000000000000227e+02 2.047999999999999949e-16
9.328999999999999773e+02 1.976999999999999880e-16
9.658999999999999773e+02 1.909000000000000057e-16
1.000000000000000000e+03 1.841999999999999905e-16
-----------------------


C10 N2 Excitation 2.06 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 1.212000000000000043e-32
1.868000000000000105e+00 1.827999999999999908e-32
1.933999999999999941e+00 2.724999999999999964e-32
2.001999999999999780e+00 4.024999999999999832e-32
2.072999999999999954e+00 5.895999999999999722e-32
2.145999999999999908e+00 8.588999999999999751e-32
2.221999999999999975e+00 1.246999999999999932e-31
2.299999999999999822e+00 1.811000000000000065e-31
2.382000000000000117e+00 2.635999999999999827e-31
2.466000000000000192e+00 3.861000000000000105e-31
2.552999999999999936e+00 5.706000000000000293e-31
2.642999999999999794e+00 8.524000000000000332e-31
2.736000000000000210e+00 1.287999999999999946e-30
2.833000000000000185e+00 1.968999999999999996e-30
2.932999999999999829e+00 3.039999999999999973e-30
3.036999999999999922e+00 4.728999999999999806e-30
3.144000000000000128e+00 7.388000000000000279e-30
3.254999999999999893e+00 1.155999999999999984e-29
3.370000000000000107e+00 1.806000000000000038e-29
3.488999999999999879e+00 2.812999999999999758e-29
3.612000000000000099e+00 4.356999999999999999e-29
3.740000000000000213e+00 6.704999999999999858e-29
3.871999999999999886e+00 1.025000000000000057e-28
4.009000000000000341e+00 1.555000000000000046e-28
4.150000000000000355e+00 2.343999999999999971e-28
4.296999999999999709e+00 3.518999999999999873e-28
4.448999999999999844e+00 5.269000000000000299e-28
4.605999999999999872e+00 7.899999999999999874e-28
4.769000000000000128e+00 1.190999999999999993e-27
4.937000000000000277e+00 1.811999999999999949e-27
5.110999999999999766e+00 2.799999999999999964e-27
5.291999999999999815e+00 8.029999999999999649e-27
5.479000000000000092e+00 1.319000000000000111e-26
5.671999999999999709e+00 2.212999999999999990e-26
5.873000000000000220e+00 3.788999999999999718e-26
6.080000000000000071e+00 6.599000000000000372e-26
6.294999999999999929e+00 1.164999999999999916e-25
6.517000000000000348e+00 2.074000000000000097e-25
6.748000000000000220e+00 3.709000000000000060e-25
6.985999999999999766e+00 6.633999999999999584e-25
7.232999999999999652e+00 1.182999999999999957e-24
7.488000000000000433e+00 2.097000000000000124e-24
7.753000000000000114e+00 3.690000000000000205e-24
8.025999999999999801e+00 6.433000000000000337e-24
8.310000000000000497e+00 1.110000000000000016e-23
8.602999999999999758e+00 1.893999999999999854e-23
