BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_IST_Lisbon.txt
--------------------------------------------------
O2                                                              
cross_section_air_IST_Lisbon.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
         229   4.838      0.7183      0.2884E+25  0.1738E+25  0.4178E+25  0.1930E+25  0.4473E-13  0.6098E-13   0.000       0.000       0.000       0.000      0.6752E-16  0.1450E-17  0.6606E-16   0.000       2.701       5.000       1.000    
         230   4.872      0.7211      0.2874E+25  0.1740E+25  0.4165E+25  0.1932E+25  0.4486E-13  0.6121E-13   0.000       0.000       0.000       0.000      0.6820E-16  0.1458E-17  0.6674E-16   0.000       2.701       5.000       1.000    
         231   4.906      0.7238      0.2863E+25  0.1742E+25  0.4151E+25  0.1933E+25  0.4498E-13  0.6144E-13   0.000       0.000       0.000       0.000      0.6889E-16  0.1467E-17  0.6742E-16   0.000       2.701       5.000       1.000    
         232   4.940      0.7259      0.2852E+25  0.1744E+25  0.4141E+25  0.1936E+25  0.4510E-13  0.6167E-13   0.000       0.000       0.000       0.000      0.6958E-16  0.1476E-17  0.6810E-16   0.000       2.701       5.000       1.000    
         233   4.974      0.7286      0.2841E+25  0.1746E+25  0.4128E+25  0.1937E+25  0.4523E-13  0.6191E-13   0.000       0.000       0.000       0.000      0.7029E-16  0.1485E-17  0.6880E-16   0.000       2.701       5.000       1.000    
         234   5.008      0.7312      0.2831E+25  0.1748E+25  0.4115E+25  0.1939E+25  0.4535E-13  0.6213E-13   0.000       0.000       0.000       0.000      0.7101E-16  0.1493E-17  0.6950E-16   0.000       2.701       5.000       1.000    
         235   5.043      0.7339      0.2820E+25  0.1750E+25  0.4103E+25  0.1940E+25  0.4548E-13  0.6237E-13   0.000       0.000       0.000       0.000      0.7173E-16  0.1502E-17  0.7022E-16   0.000       2.701       5.000       1.000    
         236   5.078      0.7365      0.2810E+25  0.1752E+25  0.4090E+25  0.1942E+25  0.4560E-13  0.6260E-13   0.000       0.000       0.000       0.000      0.7246E-16  0.1511E-17  0.7094E-16   0.000       2.701       5.000       1.000    
         237   5.113      0.7391      0.2800E+25  0.1754E+25  0.4077E+25  0.1943E+25  0.4572E-13  0.6283E-13   0.000       0.000       0.000       0.000      0.7320E-16  0.1520E-17  0.7167E-16   0.000       2.701       5.000       1.000    
         238   5.149      0.7417      0.2789E+25  0.1756E+25  0.4065E+25  0.1944E+25  0.4585E-13  0.6306E-13   0.000       0.000       0.000       0.000      0.7395E-16  0.1528E-17  0.7241E-16   0.000       2.701       5.000       1.000    
         239   5.185      0.7443      0.2779E+25  0.1758E+25  0.4053E+25  0.1946E+25  0.4597E-13  0.6329E-13   0.000       0.000       0.000       0.000      0.7470E-16  0.1537E-17  0.7316E-16   0.000       2.701       5.000       1.000    
         240   5.221      0.7469      0.2769E+25  0.1760E+25  0.4041E+25  0.1947E+25  0.4609E-13  0.6352E-13   0.000       0.000       0.000       0.000      0.7547E-16  0.1546E-17  0.7391E-16   0.000       2.701       5.000       1.000    
         241   5.257      0.7495      0.2759E+25  0.1761E+25  0.4028E+25  0.1948E+25  0.4621E-13  0.6375E-13   0.000       0.000       0.000       0.000      0.7624E-16  0.1554E-17  0.7468E-16   0.000       2.701       5.000       1.000    
         242   5.293      0.7520      0.2749E+25  0.1763E+25  0.4016E+25  0.1950E+25  0.4633E-13  0.6398E-13   0.000       0.000       0.000       0.000      0.7702E-16  0.1563E-17  0.7545E-16   0.000       2.701       5.000       1.000    
         243   5.330      0.7546      0.2739E+25  0.1765E+25  0.4005E+25  0.1951E+25  0.4645E-13  0.6421E-13   0.000       0.000       0.000       0.000      0.7781E-16  0.1572E-17  0.7623E-16   0.000       2.701       5.000       1.000    
         244   5.367      0.7571      0.2729E+25  0.1767E+25  0.3993E+25  0.1952E+25  0.4657E-13  0.6445E-13   0.000       0.000       0.000       0.000      0.7861E-16  0.1580E-17  0.7702E-16   0.000       2.701       5.000       1.000    
         245   5.404      0.7596      0.2719E+25  0.1769E+25  0.3981E+25  0.1954E+25  0.4669E-13  0.6468E-13   0.000       0.000       0.000       0.000      0.7942E-16  0.1589E-17  0.7782E-16   0.000       2.701       5.000       1.000    
         246   5.442      0.7621      0.2710E+25  0.1771E+25  0.3969E+25  0.1955E+25  0.4681E-13  0.6491E-13   0.000       0.000       0.000       0.000      0.8024E-16  0.1597E-17  0.7863E-16   0.000       2.701       5.000       1.000    
         247   5.479      0.7646      0.2700E+25  0.1772E+25  0.3958E+25  0.1956E+25  0.4693E-13  0.6514E-13   0.000       0.000       0.000       0.000      0.8107E-16  0.1606E-17  0.7945E-16   0.000       2.701       5.000       1.000    
         248   5.517      0.7670      0.2690E+25  0.1774E+25  0.3946E+25  0.1957E+25  0.4704E-13  0.6537E-13   0.000       0.000       0.000       0.000      0.8191E-16  0.1614E-17  0.8028E-16   0.000       2.701       5.000       1.000    
         249   5.556      0.7695      0.2681E+25  0.1776E+25  0.3935E+25  0.1958E+25  0.4716E-13  0.6561E-13   0.000       0.000       0.000       0.000      0.8275E-16  0.1623E-17  0.8112E-16   0.000       2.701       5.000       1.000    
         250   5.594      0.7719      0.2672E+25  0.1778E+25  0.3924E+25  0.1960E+25  0.4728E-13  0.6584E-13   0.000       0.000       0.000       0.000      0.8361E-16  0.1631E-17  0.8197E-16   0.000       2.701       5.000       1.000    
         251   5.633      0.7744      0.2662E+25  0.1779E+25  0.3912E+25  0.1961E+25  0.4739E-13  0.6607E-13   0.000       0.000       0.000       0.000      0.8448E-16  0.1639E-17  0.8283E-16   0.000       2.701       5.000       1.000    
         252   5.672      0.7768      0.2653E+25  0.1781E+25  0.3901E+25  0.1962E+25  0.4751E-13  0.6630E-13   0.000       0.000       0.000       0.000      0.8535E-16  0.1648E-17  0.8370E-16   0.000       2.701       5.000       1.000    
         253   5.712      0.7792      0.2644E+25  0.1783E+25  0.3890E+25  0.1963E+25  0.4762E-13  0.6653E-13   0.000       0.000       0.000       0.000      0.8624E-16  0.1656E-17  0.8458E-16   0.000       2.701       5.000       1.000    
         254   5.751      0.7816      0.2634E+25  0.1784E+25  0.3879E+25  0.1964E+25  0.4773E-13  0.6676E-13   0.000       0.000       0.000       0.000      0.8714E-16  0.1664E-17  0.8547E-16   0.000       2.701       5.000       1.000    
         255   5.791      0.7840      0.2625E+25  0.1786E+25  0.3868E+25  0.1965E+25  0.4785E-13  0.6699E-13   0.000       0.000       0.000       0.000      0.8805E-16  0.1673E-17  0.8637E-16   0.000       2.701       5.000       1.000    
         256   5.831      0.7863      0.2616E+25  0.1788E+25  0.3858E+25  0.1966E+25  0.4796E-13  0.6723E-13   0.000       0.000       0.000       0.000      0.8897E-16  0.1681E-17  0.8728E-16   0.000       2.701       5.000       1.000    
         257   5.872      0.7887      0.2607E+25  0.1789E+25  0.3847E+25  0.1967E+25  0.4807E-13  0.6746E-13   0.000       0.000       0.000       0.000      0.8989E-16  0.1689E-17  0.8820E-16   0.000       2.701       5.000       1.000    
         258   5.913      0.7910      0.2598E+25  0.1791E+25  0.3836E+25  0.1968E+25  0.4818E-13  0.6769E-13   0.000       0.000       0.000       0.000      0.9084E-16  0.1697E-17  0.8913E-16   0.000       2.701       5.000       1.000    
         259   5.954      0.7933      0.2590E+25  0.1793E+25  0.3826E+25  0.1969E+25  0.4830E-13  0.6792E-13   0.000       0.000       0.000       0.000      0.9179E-16  0.1706E-17  0.9007E-16   0.000       2.701       5.000       1.000    
         260   5.995      0.7956      0.2581E+25  0.1794E+25  0.3815E+25  0.1970E+25  0.4841E-13  0.6815E-13   0.000       0.000       0.000       0.000      0.9275E-16  0.1714E-17  0.9103E-16   0.000       2.701       5.000       1.000    
         261   6.036      0.7979      0.2572E+25  0.1796E+25  0.3805E+25  0.1971E+25  0.4852E-13  0.6838E-13   0.000       0.000       0.000       0.000      0.9372E-16  0.1722E-17  0.9199E-16   0.000       2.701       5.000       1.000    
         262   6.078      0.8002      0.2563E+25  0.1797E+25  0.3794E+25  0.1972E+25  0.4862E-13  0.6861E-13   0.000       0.000       0.000       0.000      0.9471E-16  0.1730E-17  0.9297E-16   0.000       2.701       5.000       1.000    
         263   6.120      0.8024      0.2555E+25  0.1799E+25  0.3784E+25  0.1973E+25  0.4873E-13  0.6884E-13   0.000       0.000       0.000       0.000      0.9571E-16  0.1738E-17  0.9396E-16   0.000       2.701       5.000       1.000    
         264   6.163      0.8047      0.2546E+25  0.1800E+25  0.3774E+25  0.1974E+25  0.4884E-13  0.6907E-13   0.000       0.000       0.000       0.000      0.9671E-16  0.1746E-17  0.9496E-16   0.000       2.701       5.000       1.000    
         265   6.206      0.8069      0.2538E+25  0.1802E+25  0.3764E+25  0.1975E+25  0.4895E-13  0.6930E-13   0.000       0.000       0.000       0.000      0.9774E-16  0.1754E-17  0.9597E-16   0.000       2.701       5.000       1.000    
         266   6.249      0.8091      0.2529E+25  0.1803E+25  0.3754E+25  0.1976E+25  0.4905E-13  0.6954E-13   0.000       0.000       0.000       0.000      0.9877E-16  0.1762E-17  0.9700E-16   0.000       2.701       5.000       1.000    
         267   6.292      0.8113      0.2521E+25  0.1805E+25  0.3744E+25  0.1977E+25  0.4916E-13  0.6977E-13   0.000       0.000       0.000       0.000      0.9981E-16  0.1770E-17  0.9803E-16   0.000       2.701       5.000       1.000    
         268   6.336      0.8136      0.2513E+25  0.1806E+25  0.3734E+25  0.1978E+25  0.4927E-13  0.6999E-13   0.000       0.000       0.000       0.000      0.1009E-15  0.1778E-17  0.9908E-16   0.000       2.701       5.000       1.000    
         269   6.380      0.8157      0.2505E+25  0.1808E+25  0.3724E+25  0.1979E+25  0.4937E-13  0.7022E-13   0.000       0.000       0.000       0.000      0.1019E-15  0.1786E-17  0.1001E-15   0.000       2.701       5.000       1.000    
         270   6.424      0.8179      0.2496E+25  0.1809E+25  0.3714E+25  0.1979E+25  0.4948E-13  0.7045E-13   0.000       0.000       0.000       0.000      0.1030E-15  0.1794E-17  0.1012E-15   0.000       2.701       5.000       1.000    
         271   6.469      0.8201      0.2488E+25  0.1810E+25  0.3704E+25  0.1980E+25  0.4958E-13  0.7068E-13   0.000       0.000       0.000       0.000      0.1041E-15  0.1802E-17  0.1023E-15   0.000       2.701       5.000       1.000    
         272   6.513      0.8222      0.2480E+25  0.1812E+25  0.3695E+25  0.1981E+25  0.4969E-13  0.7091E-13   0.000       0.000       0.000       0.000      0.1052E-15  0.1809E-17  0.1034E-15   0.000       2.701       5.000       1.000    
         273   6.559      0.8243      0.2472E+25  0.1813E+25  0.3685E+25  0.1982E+25  0.4979E-13  0.7114E-13   0.000       0.000       0.000       0.000      0.1064E-15  0.1817E-17  0.1045E-15   0.000       2.701       5.000       1.000    
         274   6.604      0.8264      0.2464E+25  0.1815E+25  0.3676E+25  0.1983E+25  0.4989E-13  0.7137E-13   0.000       0.000       0.000       0.000      0.1075E-15  0.1825E-17  0.1057E-15   0.000       2.701       5.000       1.000    
         275   6.650      0.8285      0.2457E+25  0.1816E+25  0.3666E+25  0.1983E+25  0.4999E-13  0.7160E-13   0.000       0.000       0.000       0.000      0.1086E-15  0.1833E-17  0.1068E-15   0.000       2.701       5.000       1.000    
         276   6.696      0.8306      0.2449E+25  0.1817E+25  0.3657E+25  0.1984E+25  0.5010E-13  0.7183E-13   0.000       0.000       0.000       0.000      0.1098E-15  0.1840E-17  0.1079E-15   0.000       2.701       5.000       1.000    
         277   6.743      0.8327      0.2441E+25  0.1819E+25  0.3648E+25  0.1985E+25  0.5020E-13  0.7205E-13   0.000       0.000       0.000       0.000      0.1110E-15  0.1848E-17  0.1091E-15   0.000       2.701       5.000       1.000    
         278   6.789      0.8347      0.2433E+25  0.1820E+25  0.3638E+25  0.1986E+25  0.5030E-13  0.7228E-13   0.000       0.000       0.000       0.000      0.1122E-15  0.1856E-17  0.1103E-15   0.000       2.701       5.000       1.000    
         279   6.837      0.8368      0.2426E+25  0.1821E+25  0.3629E+25  0.1986E+25  0.5040E-13  0.7251E-13   0.000       0.000       0.000       0.000      0.1134E-15  0.1863E-17  0.1115E-15   0.000       2.701       5.000       1.000    
         280   6.884      0.8388      0.2418E+25  0.1822E+25  0.3620E+25  0.1987E+25  0.5050E-13  0.7274E-13   0.000       0.000       0.000       0.000      0.1146E-15  0.1871E-17  0.1127E-15   0.000       2.701       5.000       1.000    
         281   6.932      0.8408      0.2411E+25  0.1824E+25  0.3611E+25  0.1988E+25  0.5060E-13  0.7296E-13   0.000       0.000       0.000       0.000      0.1158E-15  0.1878E-17  0.1139E-15   0.000       2.701       5.000       1.000    
         282   6.980      0.8428      0.2403E+25  0.1825E+25  0.3602E+25  0.1989E+25  0.5069E-13  0.7319E-13   0.000       0.000       0.000       0.000      0.1171E-15  0.1886E-17  0.1152E-15   0.000       2.701       5.000       1.000    
         283   7.028      0.8448      0.2396E+25  0.1826E+25  0.3593E+25  0.1989E+25  0.5079E-13  0.7342E-13   0.000       0.000       0.000       0.000      0.1183E-15  0.1893E-17  0.1164E-15   0.000       2.701       5.000       1.000    
         284   7.077      0.8468      0.2388E+25  0.1827E+25  0.3584E+25  0.1990E+25  0.5089E-13  0.7365E-13   0.000       0.000       0.000       0.000      0.1196E-15  0.1901E-17  0.1177E-15   0.000       2.701       5.000       1.000    
         285   7.126      0.8487      0.2381E+25  0.1829E+25  0.3576E+25  0.1991E+25  0.5099E-13  0.7387E-13   0.000       0.000       0.000       0.000      0.1209E-15  0.1908E-17  0.1190E-15   0.000       2.701       5.000       1.000    
         286   7.176      0.8507      0.2374E+25  0.1830E+25  0.3567E+25  0.1991E+25  0.5108E-13  0.7409E-13   0.000       0.000       0.000       0.000      0.1222E-15  0.1916E-17  0.1203E-15   0.000       2.701       5.000       1.000    
         287   7.225      0.8526      0.2367E+25  0.1831E+25  0.3558E+25  0.1992E+25  0.5118E-13  0.7432E-13   0.000       0.000       0.000       0.000      0.1235E-15  0.1923E-17  0.1216E-15   0.000       2.701       5.000       1.000    
         288   7.275      0.8545      0.2359E+25  0.1832E+25  0.3550E+25  0.1993E+25  0.5127E-13  0.7454E-13   0.000       0.000       0.000       0.000      0.1249E-15  0.1930E-17  0.1230E-15   0.000       2.701       5.000       1.000    
         289   7.326      0.8564      0.2352E+25  0.1833E+25  0.3541E+25  0.1993E+25  0.5137E-13  0.7477E-13   0.000       0.000       0.000       0.000      0.1262E-15  0.1938E-17  0.1243E-15   0.000       2.701       5.000       1.000    
         290   7.377      0.8583      0.2345E+25  0.1834E+25  0.3533E+25  0.1994E+25  0.5146E-13  0.7499E-13   0.000       0.000       0.000       0.000      0.1276E-15  0.1945E-17  0.1257E-15   0.000       2.701       5.000       1.000    
         291   7.428      0.8602      0.2338E+25  0.1836E+25  0.3524E+25  0.1994E+25  0.5155E-13  0.7522E-13   0.000       0.000       0.000       0.000      0.1290E-15  0.1952E-17  0.1271E-15   0.000       2.701       5.000       1.000    
         292   7.480      0.8621      0.2331E+25  0.1837E+25  0.3516E+25  0.1995E+25  0.5165E-13  0.7544E-13   0.000       0.000       0.000       0.000      0.1304E-15  0.1959E-17  0.1285E-15   0.000       2.701       5.000       1.000    
         293   7.531      0.8639      0.2325E+25  0.1838E+25  0.3507E+25  0.1996E+25  0.5174E-13  0.7566E-13   0.000       0.000       0.000       0.000      0.1319E-15  0.1967E-17  0.1299E-15   0.000       2.701       5.000       1.000    
         294   7.584      0.8658      0.2318E+25  0.1839E+25  0.3499E+25  0.1996E+25  0.5183E-13  0.7589E-13   0.000       0.000       0.000       0.000      0.1333E-15  0.1974E-17  0.1313E-15   0.000       2.701       5.000       1.000    
         295   7.636      0.8676      0.2311E+25  0.1840E+25  0.3491E+25  0.1997E+25  0.5193E-13  0.7611E-13   0.000       0.000       0.000       0.000      0.1348E-15  0.1981E-17  0.1328E-15   0.000       2.701       5.000       1.000    
         296   7.689      0.8695      0.2304E+25  0.1841E+25  0.3483E+25  0.1997E+25  0.5202E-13  0.7633E-13   0.000       0.000       0.000       0.000      0.1362E-15  0.1988E-17  0.1342E-15   0.000       2.701       5.000       1.000    
         297   7.743      0.8713      0.2298E+25  0.1842E+25  0.3475E+25  0.1998E+25  0.5211E-13  0.7655E-13   0.000       0.000       0.000       0.000      0.1377E-15  0.1995E-17  0.1357E-15   0.000       2.701       5.000       1.000    
         298   7.796      0.8731      0.2291E+25  0.1843E+25  0.3467E+25  0.1998E+25  0.5220E-13  0.7678E-13   0.000       0.000       0.000       0.000      0.1392E-15  0.2002E-17  0.1372E-15   0.000       2.701       5.000       1.000    
         299   7.850      0.8748      0.2284E+25  0.1844E+25  0.3458E+25  0.1999E+25  0.5229E-13  0.7700E-13   0.000       0.000       0.000       0.000      0.1408E-15  0.2009E-17  0.1388E-15   0.000       2.701       5.000       1.000    
         300   7.905      0.8766      0.2278E+25  0.1845E+25  0.3451E+25  0.1999E+25  0.5238E-13  0.7722E-13   0.000       0.000       0.000       0.000      0.1423E-15  0.2016E-17  0.1403E-15   0.000       2.701       5.000       1.000    
         301   7.960      0.8784      0.2271E+25  0.1846E+25  0.3443E+25  0.2000E+25  0.5247E-13  0.7744E-13   0.000       0.000       0.000       0.000      0.1439E-15  0.2023E-17  0.1419E-15   0.000       2.701       5.000       1.000    
         302   8.015      0.8801      0.2265E+25  0.1847E+25  0.3435E+25  0.2000E+25  0.5255E-13  0.7766E-13   0.000       0.000       0.000       0.000      0.1455E-15  0.2030E-17  0.1435E-15   0.000       2.701       5.000       1.000    
         303   8.071      0.8819      0.2258E+25  0.1848E+25  0.3427E+25  0.2001E+25  0.5264E-13  0.7788E-13   0.000       0.000       0.000       0.000      0.1471E-15  0.2037E-17  0.1451E-15   0.000       2.701       5.000       1.000    
         304   8.127      0.8836      0.2252E+25  0.1849E+25  0.3419E+25  0.2001E+25  0.5273E-13  0.7810E-13   0.000       0.000       0.000       0.000      0.1487E-15  0.2044E-17  0.1467E-15   0.000       2.701       5.000       1.000    
         305   8.183      0.8853      0.2246E+25  0.1850E+25  0.3411E+25  0.2002E+25  0.5282E-13  0.7832E-13   0.000       0.000       0.000       0.000      0.1504E-15  0.2051E-17  0.1483E-15   0.000       2.701       5.000       1.000    
         306   8.240      0.8870      0.2240E+25  0.1851E+25  0.3404E+25  0.2002E+25  0.5290E-13  0.7853E-13   0.000       0.000       0.000       0.000      0.1521E-15  0.2058E-17  0.1500E-15   0.000       2.701       5.000       1.000    
         307   8.297      0.8887      0.2233E+25  0.1852E+25  0.3396E+25  0.2003E+25  0.5299E-13  0.7875E-13   0.000       0.000       0.000       0.000      0.1537E-15  0.2064E-17  0.1517E-15   0.000       2.701       5.000       1.000    
         308   8.355      0.8904      0.2227E+25  0.1853E+25  0.3388E+25  0.2003E+25  0.5307E-13  0.7897E-13   0.000       0.000       0.000       0.000      0.1555E-15  0.2071E-17  0.1534E-15   0.000       2.701       5.000       1.000    
         309   8.412      0.8920      0.2221E+25  0.1854E+25  0.3381E+25  0.2003E+25  0.5316E-13  0.7919E-13   0.000       0.000       0.000       0.000      0.1572E-15  0.2078E-17  0.1551E-15   0.000       2.701       5.000       1.000    
         310   8.471      0.8937      0.2215E+25  0.1854E+25  0.3373E+25  0.2004E+25  0.5324E-13  0.7940E-13   0.000       0.000       0.000       0.000      0.1589E-15  0.2085E-17  0.1568E-15   0.000       2.701       5.000       1.000    
         311   8.530      0.8953      0.2209E+25  0.1855E+25  0.3366E+25  0.2004E+25  0.5333E-13  0.7962E-13   0.000       0.000       0.000       0.000      0.1607E-15  0.2091E-17  0.1586E-15   0.000       2.701       5.000       1.000    
         312   8.589      0.8970      0.2203E+25  0.1856E+25  0.3358E+25  0.2004E+25  0.5341E-13  0.7985E-13   0.000       0.000       0.000       0.000      0.1625E-15  0.2098E-17  0.1604E-15   0.000       3.217       9.000       2.000    
         313   8.648      0.8986      0.2197E+25  0.1857E+25  0.3351E+25  0.2005E+25  0.5350E-13  0.8006E-13   0.000       0.000       0.000       0.000      0.1643E-15  0.2105E-17  0.1622E-15   0.000       3.217       5.000       1.000    
         314   8.708      0.9002      0.2191E+25  0.1858E+25  0.3343E+25  0.2005E+25  0.5358E-13  0.8027E-13   0.000       0.000       0.000       0.000      0.1662E-15  0.2111E-17  0.1641E-15   0.000       3.217       5.000       1.000    
         315   8.769      0.9018      0.2185E+25  0.1859E+25  0.3336E+25  0.2005E+25  0.5366E-13  0.8049E-13   0.000       0.000       0.000       0.000      0.1680E-15  0.2118E-17  0.1659E-15   0.000       3.217       5.000       1.000    
         316   8.830      0.9034      0.2179E+25  0.1859E+25  0.3329E+25  0.2006E+25  0.5374E-13  0.8070E-13   0.000       0.000       0.000       0.000      0.1699E-15  0.2124E-17  0.1678E-15   0.000       3.217       5.000       1.000    
         317   8.891      0.9050      0.2174E+25  0.1860E+25  0.3322E+25  0.2006E+25  0.5383E-13  0.8092E-13   0.000       0.000       0.000       0.000      0.1718E-15  0.2131E-17  0.1697E-15   0.000       3.217       5.000       1.000    
         318   8.953      0.9066      0.2168E+25  0.1861E+25  0.3315E+25  0.2006E+25  0.5391E-13  0.8113E-13   0.000       0.000       0.000       0.000      0.1738E-15  0.2137E-17  0.1716E-15   0.000       3.217       5.000       1.000    
         319   9.015      0.9080      0.2162E+25  0.1862E+25  0.3308E+25  0.2007E+25  0.5399E-13  0.8135E-13   0.000       0.000       0.000       0.000      0.1757E-15  0.2144E-17  0.1736E-15   0.000       3.217       5.000       1.000    
         320   9.077      0.9096      0.2157E+25  0.1863E+25  0.3301E+25  0.2007E+25  0.5407E-13  0.8156E-13   0.000       0.000       0.000       0.000      0.1777E-15  0.2150E-17  0.1756E-15   0.000       3.217       5.000       1.000    
         321   9.140      0.9111      0.2151E+25  0.1863E+25  0.3294E+25  0.2008E+25  0.5415E-13  0.8177E-13   0.000       0.000       0.000       0.000      0.1797E-15  0.2157E-17  0.1776E-15   0.000       3.217       5.000       1.000    
         322   9.204      0.9126      0.2145E+25  0.1864E+25  0.3287E+25  0.2008E+25  0.5423E-13  0.8198E-13   0.000       0.000       0.000       0.000      0.1817E-15  0.2163E-17  0.1796E-15   0.000       3.217       5.000       1.000    
         323   9.268      0.9141      0.2140E+25  0.1865E+25  0.3280E+25  0.2008E+25  0.5431E-13  0.8219E-13   0.000       0.000       0.000       0.000      0.1838E-15  0.2170E-17  0.1816E-15   0.000       3.217       5.000       1.000    
         324   9.332      0.9156      0.2134E+25  0.1866E+25  0.3273E+25  0.2008E+25  0.5439E-13  0.8240E-13   0.000       0.000       0.000       0.000      0.1859E-15  0.2176E-17  0.1837E-15   0.000       3.217       5.000       1.000    
         325   9.397      0.9171      0.2129E+25  0.1866E+25  0.3266E+25  0.2009E+25  0.5446E-13  0.8262E-13   0.000       0.000       0.000       0.000      0.1880E-15  0.2182E-17  0.1858E-15   0.000       3.217       5.000       1.000    
         326   9.462      0.9186      0.2124E+25  0.1867E+25  0.3259E+25  0.2009E+25  0.5454E-13  0.8282E-13   0.000       0.000       0.000       0.000      0.1901E-15  0.2189E-17  0.1879E-15   0.000       3.217       5.000       1.000    
         327   9.528      0.9201      0.2118E+25  0.1868E+25  0.3252E+25  0.2009E+25  0.5462E-13  0.8303E-13   0.000       0.000       0.000       0.000      0.1923E-15  0.2195E-17  0.1901E-15   0.000       3.217       5.000       1.000    
         328   9.594      0.9215      0.2113E+25  0.1868E+25  0.3246E+25  0.2010E+25  0.5470E-13  0.8324E-13   0.000       0.000       0.000       0.000      0.1945E-15  0.2201E-17  0.1923E-15   0.000       3.217       5.000       1.000    
         329   9.660      0.9230      0.2108E+25  0.1869E+25  0.3239E+25  0.2010E+25  0.5478E-13  0.8345E-13   0.000       0.000       0.000       0.000      0.1967E-15  0.2207E-17  0.1945E-15   0.000       3.217       5.000       1.000    
         330   9.727      0.9244      0.2102E+25  0.1870E+25  0.3232E+25  0.2010E+25  0.5485E-13  0.8366E-13   0.000       0.000       0.000       0.000      0.1989E-15  0.2214E-17  0.1967E-15   0.000       3.217       5.000       1.000    
         331   9.795      0.9258      0.2097E+25  0.1870E+25  0.3225E+25  0.2010E+25  0.5493E-13  0.8387E-13   0.000       0.000       0.000       0.000      0.2012E-15  0.2220E-17  0.1990E-15   0.000       3.217       5.000       1.000    
         332   9.863      0.9272      0.2092E+25  0.1871E+25  0.3219E+25  0.2010E+25  0.5501E-13  0.8408E-13   0.000       0.000       0.000       0.000      0.2035E-15  0.2226E-17  0.2013E-15   0.000       3.217       5.000       1.000    
         333   9.931      0.9286      0.2087E+25  0.1872E+25  0.3212E+25  0.2011E+25  0.5508E-13  0.8428E-13   0.000       0.000       0.000       0.000      0.2058E-15  0.2232E-17  0.2036E-15   0.000       3.217       5.000       1.000    
         334   10.00      0.9300      0.2082E+25  0.1872E+25  0.3206E+25  0.2011E+25  0.5516E-13  0.8449E-13   0.000       0.000       0.000       0.000      0.2082E-15  0.2238E-17  0.2059E-15   0.000       3.217       5.000       1.000    
         335   10.07      0.9314      0.2077E+25  0.1873E+25  0.3199E+25  0.2011E+25  0.5523E-13  0.8470E-13   0.000       0.000       0.000       0.000      0.2106E-15  0.2244E-17  0.2083E-15   0.000       3.217       5.000       1.000    
         336   10.14      0.9328      0.2072E+25  0.1874E+25  0.3193E+25  0.2011E+25  0.5530E-13  0.8491E-13   0.000       0.000       0.000       0.000      0.2130E-15  0.2250E-17  0.2107E-15   0.000       3.217       5.000       1.000    
         337   10.21      0.9342      0.2067E+25  0.1874E+25  0.3186E+25  0.2011E+25  0.5538E-13  0.8511E-13   0.000       0.000       0.000       0.000      0.2154E-15  0.2257E-17  0.2132E-15   0.000       3.217       5.000       1.000    
         338   10.28      0.9355      0.2062E+25  0.1875E+25  0.3180E+25  0.2012E+25  0.5546E-13  0.8531E-13   0.000       0.000       0.000       0.000      0.2179E-15  0.2263E-17  0.2156E-15   0.000       3.217       4.000       1.000    
         339   10.35      0.9369      0.2057E+25  0.1875E+25  0.3174E+25  0.2012E+25  0.5553E-13  0.8552E-13   0.000       0.000       0.000       0.000      0.2204E-15  0.2269E-17  0.2181E-15   0.000       3.217       4.000       1.000    
         340   10.42      0.9382      0.2052E+25  0.1876E+25  0.3167E+25  0.2012E+25  0.5560E-13  0.8572E-13   0.000       0.000       0.000       0.000      0.2229E-15  0.2275E-17  0.2207E-15   0.000       3.217       4.000       1.000    
         341   10.50      0.9395      0.2047E+25  0.1877E+25  0.3161E+25  0.2012E+25  0.5567E-13  0.8593E-13   0.000       0.000       0.000       0.000      0.2255E-15  0.2281E-17  0.2232E-15   0.000       3.217       4.000       1.000    
         342   10.57      0.9409      0.2042E+25  0.1877E+25  0.3155E+25  0.2012E+25  0.5575E-13  0.8613E-13   0.000       0.000       0.000       0.000      0.2281E-15  0.2287E-17  0.2258E-15   0.000       3.217       4.000       1.000    
