************************************************************************************************************************
COMMENT: 
The elastic cross section is obtained from the paper "DC Breakdown Characteristics of C4F7N/CO2 Mixtures With Particle-in-Cell Simulation" (https://doi.org/10.1109/TDEI.2022.3173505)
The excitation cross section is obtained from the paper "Ionization cross sections for plasma relevant molecules" (https://doi.org/10.1088/1361-6455/ab8e26)
The ionization cross section is obtained from the paper "Ionization cross sections for plasma relevant molecules" (https://doi.org/10.1088/1361-6455/ab8e26)
The attachment cross section is obtained from the paper "Electrical insulation properties of the perfluoronitrile C4F7N" (https://doi.org/10.1088/1361-6463/aae458)
******************************************************** C4F7N *******************************************************

ELASTIC
C4F7N
2.81359e-06
SPECIES: e / C4F7N
PROCESS: E + C4F7N -> E + C4F7N, Elastic
PARAM.:  m/M = 2.81359e-06
COMMENT: elastic momentum transfer.
CREATED ON: 21/10/2022
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
0	2.0000E-19
1	2.3076E-19
2	2.5245E-19
3	3.0718E-19
4	3.247E-19
5	3.2026E-19
6	3.0814E-19
7	2.9636E-19
8	2.8959E-19
9	2.9119E-19
10	3.0434E-19
11	3.3719E-19
12	3.8144E-19
13	4.2066E-19
14	4.3788E-19
15	4.2931E-19
16	4.0548E-19
17	3.923E-19
18	3.7928E-19
19	3.6452E-19
20	3.5E-19
21	3.3618E-19
22	3.2339E-19
23	3.1166E-19
24	3.0148E-19
25	2.9817E-19
26	2.8649E-19
27	2.7819E-19
28	2.7345E-19
29	2.6861E-19
30	2.6381E-19
32	2.5452E-19
34	2.456E-19
36	2.3754E-19
38	2.3054E-19
40	2.2339E-19
42	2.1606E-19
44	2.0852E-19
46	2.0091E-19
48	1.9319E-19
50	1.8546E-19
55	1.6738E-19
60	1.5371E-19
65	1.4106E-19
70	1.2987E-19
75	1.214E-19
80	1.1463E-19
85	1.0937E-19
90	1.0465E-19
95	1.0043E-19
100	9.694E-20
110	9.089E-20
120	8.583E-20
130	8.155E-20
140	7.785E-20
150	7.455E-20
160	7.15E-20
170	6.855E-20
180	6.59E-20
190	6.348E-20
200	6.117E-20
300	4.829E-20
400	4.26E-20
500	3.98E-20
600	3.796E-20
700	3.649E-20
800	3.54E-20
900	3.447E-20
1000	3.365E-20
1500	3.079E-20
2000	2.894E-20
2500	2.759E-20
3000	2.655E-20
3500	2.566E-20
