BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
C4F7N                                                           
cross_section_C4F7N.txt
--------------------------------------------------
CO2                                                             
cross_section_CO2_IST-Lisbon.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       1.000    
A10    Ion/neutral mass ratio                     1.000    
A11    e-e momentum effects                       0.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           200.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-03
A20    Maximum # of iterations                    1000.    
A21    Mole fraction C4F7N                       0.1000    
A22    Mole fraction CO2                         0.9000    
          R#      A1         A16         A17    
          40   4.435       3.000       1.324    
          41   4.608       3.000       3.173    
          42   4.788       3.000       3.780    
          43   4.974       3.000       3.780    
          44   5.168       3.000       3.780    
          45   5.369       3.000       3.780    
          46   5.578       3.000       3.780    
          47   5.795       3.000       3.780    
          48   6.021       3.000       3.780    
          49   6.255       3.000       3.780    
          50   6.499       3.000       3.780    
          51   6.752       3.000       3.780    
          52   7.014       3.000       3.780    
          53   7.288       3.000       3.780    
          54   7.571       3.000       3.780    
          55   7.866       3.000       3.780    
          56   8.172       3.000       4.501    
          57   8.490       3.000       4.501    
          58   8.821       3.000       4.501    
          59   9.165       3.000       4.501    
          60   9.521       3.000       4.501    
          61   9.892       3.000       4.501    
          62   10.28       3.000       4.501    
          63   10.68       3.000       4.501    
          64   11.09       3.000       4.501    
          65   11.52       3.000       5.361    
          66   11.97       3.000       5.361    
          67   12.44       3.000       5.361    
          68   12.92       3.000       5.361    
          69   13.43       3.000       6.385    
          70   13.95       3.000       6.385    
          71   14.49       3.000       7.605    
          72   15.06       3.000       7.605    
          73   15.64       3.000       9.057    
          74   16.25       3.000       9.057    
          75   16.89       3.000       9.057    
          76   17.54       3.000       9.057    
          77   18.23       3.000       9.057    
          78   18.94       3.000       10.79    
          79   19.67       3.000       10.79    
          80   20.44       3.000       10.79    
          81   21.23       3.000       12.84    
          82   22.06       3.000       12.84    
          83   22.92       3.000       12.84    
          84   23.81       3.000       12.84    
          85   24.74       3.000       15.27    
          86   25.70       3.000       15.27    
          87   26.70       3.000       15.27    
          88   27.74       3.000       15.27    
          89   28.82       3.000       15.27    
          90   29.95       3.000       15.27    
          91   31.11       3.000       18.14    
          92   32.32       3.000       18.14    
          93   33.58       3.000       18.14    
          94   34.89       3.000       18.14    
          95   36.25       3.000       18.14    
          96   37.66       3.000       18.14    
          97   39.13       3.000       18.14    
          98   40.65       3.000       18.14    
          99   42.23       3.000       21.53    
         100   43.88       3.000       21.53    
         101   45.58       3.000       21.53    
         102   47.36       3.000       21.53    
         103   49.20       3.000       21.53    
         104   51.12       3.000       21.53    
         105   53.11       3.000       21.53    
         106   55.18       3.000       21.53    
         107   57.32       3.000       25.54    
         108   59.56       3.000       25.54    
         109   61.87       3.000       25.54    
         110   64.28       3.000       25.54    
         111   66.79       3.000       25.54    
         112   69.39       3.000       25.54    
         113   72.09       3.000       25.54    
         114   74.90       3.000       25.54    
         115   77.81       3.000       25.54    
         116   80.84       3.000       30.28    
         117   83.99       3.000       30.28    
         118   87.26       3.000       30.28    
         119   90.66       3.000       30.28    
         120   94.19       3.000       30.28    
         121   97.85       3.000       30.28    
         122   101.7       3.000       30.28    
         123   105.6       3.000       30.28    
         124   109.7       3.000       30.28    
         125   114.0       3.000       30.28    
         126   118.4       3.000       35.88    
         127   123.1       3.000       35.88    
         128   127.8       3.000       35.88    
         129   132.8       3.000       35.88    
         130   138.0       3.000       35.88    
         131   143.4       3.000       35.88    
         132   148.9       3.000       35.88    
         133   154.7       3.000       35.88    
         134   160.8       3.000       42.50    
         135   167.0       3.000       42.50    
         136   173.5       3.000       42.50    
         137   180.3       3.000       42.50    
         138   187.3       3.000       42.50    
         139   194.6       3.000       42.50    
         140   202.2       3.000       42.50    
         141   210.1       3.000       42.50    
         142   218.2       3.000       42.50    
         143   226.7       3.000       50.33    
         144   235.6       3.000       50.33    
         145   244.7       3.000       50.33    
         146   254.3       3.000       50.33    
         147   264.2       3.000       50.33    
         148   274.4       3.000       50.33    
         149   285.1       3.000       50.33    
         150   296.2       3.000       59.58    
         151   307.8       3.000       59.58    
         152   319.7       3.000       59.58    
         153   332.2       3.000       59.58    
         154   345.1       3.000       59.58    
         155   358.6       3.000       59.58    
         156   372.5       3.000       59.58    
         157   387.0       3.000       70.52    
         158   402.1       3.000       70.52    
         159   417.8       3.000       70.52    
         160   434.0       3.000       70.52    
         161   450.9       3.000       70.52    
         162   468.5       3.000       70.52    
         163   486.7       3.000       70.52    
         164   505.7       3.000       83.45    
         165   525.3       3.000       83.45    
         166   545.8       3.000       83.45    
         167   567.1       3.000       83.45    
         168   589.1       3.000       83.45    
         169   612.1       3.000       83.45    
         170   635.9       3.000       98.73    
         171   660.7       3.000       98.73    
         172   686.4       3.000       98.73    
         173   713.1       3.000       98.73    
         174   740.9       3.000       98.73    
         175   769.7       3.000       116.8    
         176   799.7       3.000       116.8    
         177   830.8       3.000       116.8    
         178   863.2       3.000       116.8    
         179   896.8       3.000       116.8    
         180   931.7       3.000       116.8    
         181   968.0       3.000       138.2    
         182   1006.       3.000       138.2    
         183   1045.       3.000       138.2    
         184   1085.       3.000       138.2    
         185   1128.       3.000       138.2    
         186   1172.       3.000       163.4    
         187   1217.       3.000       163.4    
         188   1265.       3.000       163.4    
         189   1314.       3.000       163.4    
         190   1365.       3.000       193.2    
         191   1418.       3.000       193.2    
         192   1473.       3.000       193.2    
         193   1531.       3.000       193.2    
         194   1590.       3.000       228.5    
         195   1652.       3.000       228.5    
         196   1717.       3.000       228.5    
         197   1783.       3.000       228.5    
         198   1853.       3.000       270.2    
         199   1925.       3.000       270.2    
         200   2000.       3.000       270.2    
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
           1   1.000      0.2296E-02  0.2063E+25  0.3776E+22  0.3731E+25  0.2251E+23  0.9014E-13  0.8528E-13   0.000      0.2598E-14   0.000      0.1260E-17  0.2063E-17 -0.8581E-19  0.8347E-17 -0.6190E-17  0.4640       76.00       2.000    
           2   1.039      0.2363E-02  0.2054E+25  0.3839E+22  0.3698E+25  0.2255E+23  0.9039E-13  0.8562E-13   0.000      0.2652E-14   0.000      0.1243E-17  0.2217E-17 -0.8551E-19  0.8801E-17 -0.6489E-17  0.4640       35.00       1.000    
           3   1.079      0.2434E-02  0.2046E+25  0.3906E+22  0.3666E+25  0.2261E+23  0.9065E-13  0.8596E-13   0.000      0.2709E-14   0.000      0.1227E-17  0.2384E-17 -0.8522E-19  0.9289E-17 -0.6812E-17  0.4640       36.00       1.000    
           4   1.121      0.2508E-02  0.2038E+25  0.3978E+22  0.3634E+25  0.2268E+23  0.9090E-13  0.8631E-13   0.000      0.2768E-14   0.000      0.1211E-17  0.2563E-17 -0.8493E-19  0.9814E-17 -0.7159E-17  0.4640       36.00       1.000    
           5   1.165      0.2586E-02  0.2030E+25  0.4054E+22  0.3603E+25  0.2276E+23  0.9116E-13  0.8666E-13   0.000      0.2830E-14   0.000      0.1197E-17  0.2755E-17 -0.8464E-19  0.1038E-16 -0.7533E-17  0.4640       37.00       1.000    
           6   1.210      0.2668E-02  0.2021E+25  0.4135E+22  0.3573E+25  0.2287E+23  0.9142E-13  0.8701E-13   0.000      0.2896E-14   0.000      0.1183E-17  0.2962E-17 -0.8436E-19  0.1099E-16 -0.7935E-17  0.4640       38.00       1.000    
           7   1.258      0.2755E-02  0.2013E+25  0.4221E+22  0.3544E+25  0.2300E+23  0.9168E-13  0.8736E-13   0.000      0.2964E-14   0.000      0.1171E-17  0.3184E-17 -0.8408E-19  0.1164E-16 -0.8369E-17  0.4640       39.00       1.000    
           8   1.307      0.2845E-02  0.2005E+25  0.4312E+22  0.3516E+25  0.2315E+23  0.9194E-13  0.8771E-13   0.000      0.3035E-14   0.000      0.1158E-17  0.3423E-17 -0.8379E-19  0.1235E-16 -0.8837E-17  0.4640       39.00       1.000    
           9   1.357      0.2940E-02  0.1997E+25  0.4408E+22  0.3489E+25  0.2333E+23  0.9220E-13  0.8806E-13   0.000      0.3110E-14   0.000      0.1147E-17  0.3680E-17 -0.8351E-19  0.1311E-16 -0.9340E-17  0.4640       40.00       1.000    
          10   1.410      0.3039E-02  0.1990E+25  0.4511E+22  0.3463E+25  0.2353E+23  0.9246E-13  0.8841E-13   0.000      0.3188E-14   0.000      0.1136E-17  0.3957E-17 -0.8322E-19  0.1393E-16 -0.9884E-17  0.4640       41.00       1.000    
          11   1.465      0.3144E-02  0.1982E+25  0.4619E+22  0.3438E+25  0.2377E+23  0.9271E-13  0.8875E-13   0.000      0.3269E-14   0.000      0.1126E-17  0.4254E-17 -0.8293E-19  0.1481E-16 -0.1047E-16  0.4640       43.00       1.000    
          12   1.522      0.3254E-02  0.1974E+25  0.4735E+22  0.3414E+25  0.2405E+23  0.9297E-13  0.8909E-13   0.000      0.3354E-14   0.000      0.1116E-17  0.4574E-17 -0.8263E-19  0.1576E-16 -0.1110E-16  0.4640       44.00       1.000    
          13   1.581      0.3369E-02  0.1967E+25  0.4857E+22  0.3391E+25  0.2437E+23  0.9323E-13  0.8943E-13   0.000      0.3443E-14   0.000      0.1107E-17  0.4919E-17 -0.8233E-19  0.1679E-16 -0.1178E-16  0.4640       45.00       1.000    
          14   1.643      0.3491E-02  0.1959E+25  0.4988E+22  0.3369E+25  0.2475E+23  0.9349E-13  0.8977E-13   0.000      0.3535E-14   0.000      0.1098E-17  0.5289E-17 -0.8201E-19  0.1790E-16 -0.1252E-16  0.4640       47.00       1.000    
          15   1.707      0.3619E-02  0.1952E+25  0.5127E+22  0.3348E+25  0.2518E+23  0.9375E-13  0.9010E-13   0.000      0.3632E-14   0.000      0.1090E-17  0.5688E-17 -0.8168E-19  0.1910E-16 -0.1332E-16  0.4640       49.00       1.000    
          16   1.773      0.3755E-02  0.1945E+25  0.5275E+22  0.3328E+25  0.2569E+23  0.9400E-13  0.9042E-13   0.000      0.3732E-14   0.000      0.1082E-17  0.6118E-17 -0.8134E-19  0.2039E-16 -0.1419E-16  0.4640       51.00       1.000    
          17   1.843      0.3899E-02  0.1938E+25  0.5434E+22  0.3309E+25  0.2628E+23  0.9426E-13  0.9074E-13   0.000      0.3837E-14   0.000      0.1075E-17  0.6580E-17 -0.8099E-19  0.2180E-16 -0.1513E-16  0.4640       54.00       1.000    
          18   1.914      0.4053E-02  0.1932E+25  0.5605E+22  0.3291E+25  0.2698E+23  0.9452E-13  0.9106E-13   0.000      0.3947E-14   0.000      0.1067E-17  0.7078E-17 -0.8061E-19  0.2333E-16 -0.1616E-16  0.4640       57.00       1.000    
          19   1.989      0.4218E-02  0.1925E+25  0.5791E+22  0.3275E+25  0.2781E+23  0.9477E-13  0.9137E-13   0.000      0.4061E-14   0.000      0.1061E-17  0.7614E-17 -0.8022E-19  0.2499E-16 -0.1729E-16  0.4640       60.00       1.000    
          20   2.066      0.4397E-02  0.1919E+25  0.5994E+22  0.3260E+25  0.2882E+23  0.9503E-13  0.9167E-13   0.000      0.4179E-14   0.000      0.1054E-17  0.8191E-17 -0.7979E-19  0.2681E-16 -0.1853E-16  0.4640       64.00       1.000    
          21   2.147      0.4592E-02  0.1912E+25  0.6220E+22  0.3246E+25  0.3006E+23  0.9528E-13  0.9197E-13   0.000      0.4303E-14   0.000      0.1048E-17  0.8812E-17 -0.7932E-19  0.2881E-16 -0.1992E-16  0.4640       70.00       1.000    
          22   2.230      0.4811E-02  0.1906E+25  0.6475E+22  0.3235E+25  0.3162E+23  0.9554E-13  0.9226E-13   0.000      0.4432E-14   0.000      0.1042E-17  0.9482E-17 -0.7881E-19  0.3104E-16 -0.2147E-16  0.4640       76.00       1.000    
          23   2.317      0.5182E-02  0.1926E+25  0.7123E+22  0.3281E+25  0.3493E+23  0.9595E-13  0.9133E-13   0.000      0.4615E-14   0.000      0.1034E-17  0.1034E-16 -0.7817E-19  0.3456E-16 -0.2414E-16  0.5526       179.0       2.000    
          24   2.407      0.5503E-02  0.1919E+25  0.7508E+22  0.3272E+25  0.3795E+23  0.9619E-13  0.9165E-13   0.000      0.4753E-14   0.000      0.1029E-17  0.1112E-16 -0.7739E-19  0.3758E-16 -0.2638E-16  0.5526       108.0       1.000    
          25   2.501      0.5927E-02  0.1913E+25  0.8028E+22  0.3269E+25  0.4231E+23  0.9644E-13  0.9195E-13   0.000      0.4897E-14   0.000      0.1024E-17  0.1197E-16 -0.7638E-19  0.4128E-16 -0.2924E-16  0.5526       127.0       1.000    
          26   2.598      0.6566E-02  0.1908E+25  0.8832E+22  0.3277E+25  0.4918E+23  0.9669E-13  0.9220E-13   0.000      0.5046E-14   0.000      0.1018E-17  0.1288E-16 -0.7488E-19  0.4630E-16 -0.3334E-16  0.5526       159.0       1.000    
          27   2.700      0.7804E-02  0.1905E+25  0.1043E+23  0.3308E+25  0.6153E+23  0.9694E-13  0.9235E-13   0.000      0.5199E-14   0.000      0.1011E-17  0.1388E-16 -0.7198E-19  0.5473E-16 -0.4078E-16  0.5526       215.0       1.000    
          28   2.805      0.1184E-01  0.1912E+25  0.1573E+23  0.3396E+25  0.8770E+23  0.9718E-13  0.9201E-13   0.000      0.5349E-14   0.000      0.9977E-18  0.1504E-16 -0.6258E-19  0.7861E-16 -0.6350E-16  0.5526       310.0       1.000    
          29   2.914      0.3203E-01  0.1989E+25  0.4264E+23  0.3535E+25  0.1231E+24  0.9735E-13  0.8842E-13   0.000      0.5448E-14   0.000      0.9399E-18  0.1689E-16 -0.1581E-19  0.1916E-15 -0.1747E-15  0.6582       375.0       2.000    
          30   3.027      0.4609E-01  0.2034E+25  0.6137E+23  0.3564E+25  0.1313E+24  0.9736E-13  0.8648E-13   0.000      0.5490E-14   0.000      0.8917E-18  0.1864E-16  0.1665E-19  0.2718E-15 -0.2531E-15  0.6582       93.00       1.000    
          31   3.145      0.5700E-01  0.2077E+25  0.7612E+23  0.3586E+25  0.1363E+24  0.9733E-13  0.8467E-13   0.000      0.5525E-14   0.000      0.8456E-18  0.2055E-16  0.4171E-19  0.3356E-15 -0.3151E-15  0.7839       129.0       2.000    
          32   3.268      0.6297E-01  0.2096E+25  0.8424E+23  0.3599E+25  0.1399E+24  0.9728E-13  0.8391E-13   0.000      0.5557E-14   0.000      0.8113E-18  0.2238E-16  0.5521E-19  0.3724E-15 -0.3500E-15  0.7839       51.00       1.000    
          33   3.395      0.6765E-01  0.2112E+25  0.9071E+23  0.3613E+25  0.1432E+24  0.9720E-13  0.8328E-13   0.000      0.5587E-14   0.000      0.7792E-18  0.2434E-16  0.6568E-19  0.4023E-15 -0.3780E-15  0.7839       39.00       1.000    
          34   3.527      0.7151E-01  0.2126E+25  0.9612E+23  0.3627E+25  0.1466E+24  0.9712E-13  0.8275E-13   0.000      0.5614E-14   0.000      0.7488E-18  0.2644E-16  0.7419E-19  0.4279E-15 -0.4015E-15  0.7839       24.00       1.000    
          35   3.664      0.7545E-01  0.2145E+25  0.1018E+24  0.3644E+25  0.1501E+24  0.9703E-13  0.8200E-13   0.000      0.5638E-14   0.000      0.7173E-18  0.2880E-16  0.8292E-19  0.4542E-15 -0.4255E-15  0.9336       59.00       2.000    
          36   3.807      0.7821E-01  0.2155E+25  0.1058E+24  0.3660E+25  0.1536E+24  0.9692E-13  0.8160E-13   0.000      0.5661E-14   0.000      0.6899E-18  0.3124E-16  0.8879E-19  0.4740E-15 -0.4429E-15  0.9336       23.00       1.000    
          37   3.955      0.8108E-01  0.2169E+25  0.1101E+24  0.3678E+25  0.1573E+24  0.9681E-13  0.8108E-13   0.000      0.5681E-14   0.000      0.6621E-18  0.3394E-16  0.9495E-19  0.4946E-15 -0.4607E-15   1.112       50.00       2.000    
          38   4.109      0.8338E-01  0.2179E+25  0.1136E+24  0.3696E+25  0.1612E+24  0.9668E-13  0.8073E-13   0.000      0.5701E-14   0.000      0.6368E-18  0.3679E-16  0.9965E-19  0.5121E-15 -0.4754E-15   1.112       29.00       1.000    
          39   4.269      0.8594E-01  0.2193E+25  0.1176E+24  0.3716E+25  0.1654E+24  0.9654E-13  0.8018E-13   0.000      0.5717E-14   0.000      0.6105E-18  0.3998E-16  0.1050E-18  0.5314E-15 -0.4914E-15   1.324       90.00       2.000    
          40   4.435      0.6804      0.3220E+25  0.1740E+25  0.6031E+25  0.2970E+25  0.6711E-13  0.5462E-13   0.000      0.3959E-14   0.000      0.2772E-18  0.6335E-16  0.5964E-18  0.2756E-14 -0.2694E-14   3.173       450.0       6.000    
          41   4.608      0.7099      0.3236E+25  0.1814E+25  0.5992E+25  0.3001E+25  0.6603E-13  0.5436E-13   0.000      0.3872E-14   0.000      0.2597E-18  0.6871E-16  0.6222E-18  0.2817E-14 -0.2749E-14   3.780       75.00       2.000    
          42   4.788      0.7367      0.3244E+25  0.1880E+25  0.5949E+25  0.3031E+25  0.6510E-13  0.5422E-13   0.000      0.3786E-14   0.000      0.2438E-18  0.7435E-16  0.6452E-18  0.2863E-14 -0.2789E-14   3.780       34.00       1.000    
          43   4.974      0.7630      0.3248E+25  0.1943E+25  0.5904E+25  0.3059E+25  0.6424E-13  0.5415E-13   0.000      0.3701E-14   0.000      0.2290E-18  0.8036E-16  0.6681E-18  0.2903E-14 -0.2823E-14   3.780       33.00       1.000    
          44   5.168      0.7888      0.3249E+25  0.2004E+25  0.5856E+25  0.3087E+25  0.6344E-13  0.5414E-13   0.000      0.3615E-14   0.000      0.2153E-18  0.8676E-16  0.6909E-18  0.2938E-14 -0.2851E-14   3.780       31.00       1.000    
          45   5.369      0.8141      0.3246E+25  0.2063E+25  0.5805E+25  0.3113E+25  0.6269E-13  0.5419E-13   0.000      0.3530E-14   0.000      0.2026E-18  0.9356E-16  0.7136E-18  0.2967E-14 -0.2874E-14   3.780       30.00       1.000    
          46   5.578      0.8391      0.3240E+25  0.2120E+25  0.5752E+25  0.3139E+25  0.6201E-13  0.5429E-13   0.000      0.3446E-14   0.000      0.1907E-18  0.1008E-15  0.7363E-18  0.2992E-14 -0.2891E-14   3.780       29.00       1.000    
          47   5.795      0.8637      0.3230E+25  0.2175E+25  0.5697E+25  0.3164E+25  0.6137E-13  0.5445E-13   0.000      0.3362E-14   0.000      0.1796E-18  0.1085E-15  0.7591E-18  0.3012E-14 -0.2904E-14   3.780       28.00       1.000    
          48   6.021      0.8880      0.3217E+25  0.2228E+25  0.5640E+25  0.3189E+25  0.6078E-13  0.5467E-13   0.000      0.3280E-14   0.000      0.1693E-18  0.1166E-15  0.7820E-18  0.3028E-14 -0.2912E-14   3.780       27.00       1.000    
          49   6.255      0.9120      0.3202E+25  0.2280E+25  0.5581E+25  0.3212E+25  0.6025E-13  0.5493E-13   0.000      0.3198E-14   0.000      0.1597E-18  0.1253E-15  0.8050E-18  0.3041E-14 -0.2916E-14   3.780       26.00       1.000    
          50   6.499      0.9357      0.3184E+25  0.2329E+25  0.5520E+25  0.3235E+25  0.5976E-13  0.5525E-13   0.000      0.3117E-14   0.000      0.1507E-18  0.1344E-15  0.8283E-18  0.3051E-14 -0.2917E-14   3.780       25.00       1.000    
          51   6.752      0.9591      0.3163E+25  0.2377E+25  0.5458E+25  0.3257E+25  0.5932E-13  0.5561E-13   0.000      0.3038E-14   0.000      0.1423E-18  0.1442E-15  0.8518E-18  0.3057E-14 -0.2914E-14   3.780       24.00       1.000    
          52   7.014      0.9823      0.3139E+25  0.2423E+25  0.5393E+25  0.3279E+25  0.5892E-13  0.5603E-13   0.000      0.2960E-14   0.000      0.1344E-18  0.1545E-15  0.8756E-18  0.3061E-14 -0.2908E-14   3.780       23.00       1.000    
          53   7.288       1.005      0.3114E+25  0.2468E+25  0.5327E+25  0.3300E+25  0.5857E-13  0.5649E-13   0.000      0.2884E-14   0.000      0.1271E-18  0.1654E-15  0.8997E-18  0.3063E-14 -0.2899E-14   3.780       22.00       1.000    
          54   7.571       1.028      0.3086E+25  0.2510E+25  0.5260E+25  0.3320E+25  0.5826E-13  0.5700E-13   0.000      0.2809E-14   0.000      0.1202E-18  0.1769E-15  0.9241E-18  0.3063E-14 -0.2887E-14   3.780       22.00       1.000    
          55   7.866       1.051      0.3057E+25  0.2553E+25  0.5191E+25  0.3339E+25  0.5796E-13  0.5754E-13   0.000      0.2736E-14   0.000      0.1138E-18  0.1891E-15  0.9498E-18  0.3064E-14 -0.2876E-14   4.501       41.00       2.000    
          56   8.172       1.073      0.3025E+25  0.2593E+25  0.5121E+25  0.3357E+25  0.5774E-13  0.5815E-13   0.000      0.2664E-14   0.000      0.1078E-18  0.2020E-15  0.9750E-18  0.3061E-14 -0.2860E-14   4.501       19.00       1.000    
          57   8.490       1.095      0.2991E+25  0.2630E+25  0.5050E+25  0.3375E+25  0.5755E-13  0.5880E-13   0.000      0.2595E-14   0.000      0.1022E-18  0.2156E-15  0.1001E-17  0.3057E-14 -0.2843E-14   4.501       19.00       1.000    
          58   8.821       1.117      0.2956E+25  0.2666E+25  0.4978E+25  0.3392E+25  0.5741E-13  0.5950E-13   0.000      0.2528E-14   0.000      0.9693E-19  0.2300E-15  0.1027E-17  0.3053E-14 -0.2824E-14   4.501       18.00       1.000    
          59   9.165       1.139      0.2920E+25  0.2700E+25  0.4905E+25  0.3408E+25  0.5730E-13  0.6024E-13   0.000      0.2462E-14   0.000      0.9203E-19  0.2452E-15  0.1054E-17  0.3048E-14 -0.2804E-14   4.501       18.00       1.000    
          60   9.521       1.160      0.2882E+25  0.2733E+25  0.4831E+25  0.3423E+25  0.5722E-13  0.6103E-13   0.000      0.2399E-14   0.000      0.8745E-19  0.2613E-15  0.1081E-17  0.3044E-14 -0.2784E-14   4.501       17.00       1.000    
          61   9.892       1.181      0.2843E+25  0.2764E+25  0.4757E+25  0.3438E+25  0.5718E-13  0.6187E-13   0.000      0.2339E-14   0.000      0.8316E-19  0.2782E-15  0.1109E-17  0.3040E-14 -0.2763E-14   4.501       17.00       1.000    
          62   10.28       1.202      0.2803E+25  0.2794E+25  0.4682E+25  0.3451E+25  0.5717E-13  0.6275E-13   0.000      0.2280E-14   0.000      0.7916E-19  0.2961E-15  0.1137E-17  0.3036E-14 -0.2741E-14   4.501       17.00       1.000    
          63   10.68       1.223      0.2762E+25  0.2822E+25  0.4607E+25  0.3464E+25  0.5720E-13  0.6367E-13   0.000      0.2224E-14   0.000      0.7542E-19  0.3149E-15  0.1166E-17  0.3034E-14 -0.2720E-14   4.501       16.00       1.000    
          64   11.09       1.243      0.2721E+25  0.2848E+25  0.4532E+25  0.3475E+25  0.5726E-13  0.6463E-13   0.000      0.2171E-14   0.000      0.7191E-19  0.3349E-15  0.1196E-17  0.3033E-14 -0.2699E-14   5.361       31.00       2.000    
          65   11.52       1.264      0.2679E+25  0.2873E+25  0.4456E+25  0.3486E+25  0.5735E-13  0.6565E-13   0.000      0.2120E-14   0.000      0.6865E-19  0.3559E-15  0.1226E-17  0.3033E-14 -0.2679E-14   5.361       15.00       1.000    
          66   11.97       1.283      0.2637E+25  0.2896E+25  0.4380E+25  0.3496E+25  0.5747E-13  0.6670E-13   0.000      0.2071E-14   0.000      0.6561E-19  0.3781E-15  0.1257E-17  0.3036E-14 -0.2659E-14   5.361       15.00       1.000    
          67   12.44       1.303      0.2594E+25  0.2918E+25  0.4305E+25  0.3505E+25  0.5762E-13  0.6779E-13   0.000      0.2026E-14   0.000      0.6276E-19  0.4015E-15  0.1289E-17  0.3040E-14 -0.2640E-14   5.361       15.00       1.000    
          68   12.92       1.323      0.2552E+25  0.2940E+25  0.4230E+25  0.3513E+25  0.5777E-13  0.6892E-13   0.000      0.1982E-14   0.000      0.6011E-19  0.4263E-15  0.1322E-17  0.3049E-14 -0.2624E-14   6.385       41.00       2.000    
          69   13.43       1.342      0.2509E+25  0.2958E+25  0.4155E+25  0.3519E+25  0.5798E-13  0.7009E-13   0.000      0.1942E-14   0.000      0.5763E-19  0.4524E-15  0.1355E-17  0.3058E-14 -0.2607E-14   6.385       25.00       1.000    
